accountid,EPNetId,type,brandslug,contractid,contractaccountid,insertdate,NotificationMethod,CorrespondenceRequestId,S3OutputPath,SentAt,InsertDate,SentTo,CorrespondenceRequestPath,CorrespondenceType
3846508,3002621,epnet,green_mountain_energy,,,2020-02-10 14:36:55.570000,email,bf4a56be-bbc7-4f13-b295-3a84680c76fd,s3://nrg-portal-pt/accounts/epnet/3002621/correspondence/welcome/bf4a56be-bbc7-4f13-b295-3a84680c76fd/,2020-02-10 14:42:31,2020-02-10 14:41:06.107000,Alex_02_10_2020_09_35_33_AM_@tester.com,s3://nrg-portal-pt/correspondence_requests/welcome/bf4a56be-bbc7-4f13-b295-3a84680c76fd.json,welcome
3846511,3002622,epnet,green_mountain_energy,,,2020-02-10 14:37:56.243000,email,7f519b38-bd82-4863-a709-3955b26de0b2,s3://nrg-portal-pt/accounts/epnet/3002622/correspondence/welcome/7f519b38-bd82-4863-a709-3955b26de0b2/,2020-02-10 14:42:31,2020-02-10 14:41:07.780000,Alex_02_10_2020_09_36_33_AM_@tester.com,s3://nrg-portal-pt/correspondence_requests/welcome/7f519b38-bd82-4863-a709-3955b26de0b2.json,welcome
3846514,3002623,epnet,green_mountain_energy,,,2020-02-10 14:38:57.633000,email,b0e7d87c-b725-4341-8b1a-9b0db80fc75d,s3://nrg-portal-pt/accounts/epnet/3002623/correspondence/welcome/b0e7d87c-b725-4341-8b1a-9b0db80fc75d/,2020-02-10 14:42:31,2020-02-10 14:41:11.293000,Alex_02_10_2020_09_37_26_AM_@tester.com,s3://nrg-portal-pt/correspondence_requests/welcome/b0e7d87c-b725-4341-8b1a-9b0db80fc75d.json,welcome
3846517,3002624,epnet,green_mountain_energy,,,2020-02-10 14:39:57.747000,email,45e272a3-f310-473e-828e-b902b65eb36f,s3://nrg-portal-pt/accounts/epnet/3002624/correspondence/welcome/45e272a3-f310-473e-828e-b902b65eb36f/,2020-02-10 14:42:31,2020-02-10 14:41:09.513000,Alex_02_10_2020_09_38_24_AM_@tester.com,s3://nrg-portal-pt/correspondence_requests/welcome/45e272a3-f310-473e-828e-b902b65eb36f.json,welcome
3846526,3002627,epnet,green_mountain_energy,,,2020-02-10 14:43:00.860000,email,798ed8cd-2d41-479c-980c-9b09363b3bcb,s3://nrg-portal-pt/accounts/epnet/3002627/correspondence/welcome/798ed8cd-2d41-479c-980c-9b09363b3bcb/,2020-02-10 14:52:32,2020-02-10 14:51:09.700000,Alex_02_10_2020_09_39_23_AM_@tester.com,s3://nrg-portal-pt/correspondence_requests/welcome/798ed8cd-2d41-479c-980c-9b09363b3bcb.json,welcome
3846520,3002625,epnet,green_mountain_energy,,,2020-02-10 14:40:58.653000,email,d5a205da-6882-4e54-8903-432f14b697b1,s3://nrg-portal-pt/accounts/epnet/3002625/correspondence/welcome/d5a205da-6882-4e54-8903-432f14b697b1/,2020-02-10 14:52:32,2020-02-10 14:51:08.777000,Alex_02_10_2020_09_40_17_AM_@tester.com,s3://nrg-portal-pt/correspondence_requests/welcome/d5a205da-6882-4e54-8903-432f14b697b1.json,welcome
3846523,3002626,epnet,green_mountain_energy,,,2020-02-10 14:41:59.810000,email,36edf589-8ad5-4455-a038-65de6fe37bdc,s3://nrg-portal-pt/accounts/epnet/3002626/correspondence/welcome/36edf589-8ad5-4455-a038-65de6fe37bdc/,2020-02-10 14:52:32,2020-02-10 14:51:11.683000,Alex_02_10_2020_09_40_56_AM_@tester.com,s3://nrg-portal-pt/correspondence_requests/welcome/36edf589-8ad5-4455-a038-65de6fe37bdc.json,welcome
3846529,3002628,epnet,green_mountain_energy,,,2020-02-10 14:44:01.720000,email,66969617-20fc-45d8-88e1-a761523224f1,s3://nrg-portal-pt/accounts/epnet/3002628/correspondence/welcome/66969617-20fc-45d8-88e1-a761523224f1/,2020-02-10 14:52:32,2020-02-10 14:51:10.713000,Alex_02_10_2020_09_42_56_AM_@tester.com,s3://nrg-portal-pt/correspondence_requests/welcome/66969617-20fc-45d8-88e1-a761523224f1.json,welcome
3846532,3002629,epnet,green_mountain_energy,,,2020-02-10 14:45:02.753000,email,07e30512-540f-408f-9562-7aa0ad039657,s3://nrg-portal-pt/accounts/epnet/3002629/correspondence/welcome/07e30512-540f-408f-9562-7aa0ad039657/,2020-02-10 14:52:32,2020-02-10 14:51:06.027000,Alex_02_10_2020_09_43_53_AM_@tester.com,s3://nrg-portal-pt/correspondence_requests/welcome/07e30512-540f-408f-9562-7aa0ad039657.json,welcome
3846477,3002611,epnet,green_mountain_energy,,,2020-02-06 21:06:27.937000,email,6fb7755d-0277-476e-ac3e-7a455948474f,s3://nrg-portal-pt/accounts/epnet/3002611/correspondence/welcome/6fb7755d-0277-476e-ac3e-7a455948474f/,2020-02-06 21:12:38,2020-02-06 21:10:39.710000,Alex_02_06_2020_04_05_18_PM_@tester.com,s3://nrg-portal-pt/correspondence_requests/welcome/6fb7755d-0277-476e-ac3e-7a455948474f.json,welcome
