ts,sku,ChannelSlug,BrandSlug,PremiseType,TermsOfServiceTyp,ProductName,ProductSlug,StateSlug,Commodity,UtilitySlug,first_name,last_name,ServiceAddress1,zip_code,city,account_no,email,emailmarketing,confirm_number,order_status,allow_email_marketing,sap_number
ts_143,ga4baeb16b2f8c3b,web,green_mountain_energy,residential,fixed,SolarSPARC 10% 12,solarsparc_10_smart_12,ny,electric,rge,Kristin,rge,617814 Stephanie Lee St.,'13074,Hannibal,'R01376253839177,no@nrg.com,no_email_mark,E1-DVL-N78,completed,false,0000007668805346
ts_191,ge04161be4ab5997,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate,pa,electric,peco,Russell,peco,558892 Joshua Morrison St.,'19437,GWYNEDD VALLEY,'1117985739,no@nrg.com,no_email_mark,E1-5LX-DA8,completed,false,0000007668805347
ts_6,g04806563c0ff681,web,green_mountain_energy,residential,variable,Green Mountain Family,green_mountain_family,md,electric,pepco,Brian,pepco,669754 Daniel Pena St.,'02906,OCEAN CITY,'05455435206802935513150,aleksandr.malygin@nrg.com,emailmarketing,E1-WER-WVE,completed,false,0000007668805348
ts_15,g132d13c46de7473,web,green_mountain_energy,small_business,variable,GNESBVAR,rate_category,il,electric,comed,Rebecca,comed,41970 Kenneth Roberson St.,'60150,MALTA,'5497486360,no@nrg.com,no_email_mark,E1-N7A-VRX,error,false,
ts_16,g132d13c46de7473,web,green_mountain_energy,small_business,variable,GNESBVAR,rate_category,il,electric,comed,Vanessa,comed,503477 Brett Poole St.,'61080,SOUTH BELOIT,'4334634556,aleksandr.malygin@nrg.com,emailmarketing,E1-KK6-ZXD,error,false,
ts_21,g196a26f85286c53,web,green_mountain_energy,residential,fixed,Pollution Free 24,pollution_free_24,ny,electric,rge,Vanessa,rge,70362 Jamie Brown St.,'14715,Bolivar,'R01169182179492,no@nrg.com,no_email_mark,E1-PZ9-XP4,completed,false,0000007668805349
ts_29,g1e7ac87aadea386,web,green_mountain_energy,residential,fixed,SolarSPARC 10% 12,solarsparc_10_smart_12_wc,ny,electric,coned,Laura,coned,213393 Emily Whitaker St.,'11266,BROOKLYN,'745325449991129,no@nrg.com,no_email_mark,E1-A46-YK5,completed,false,0000007668805350
ts_43,g294c4d46e3e5ba4,web,green_mountain_energy,residential,fixed,Pollution Free Farm to Market Reliable Rate,pollution_free_farm_to_market_reliable_rate,ny,electric,ngrid,Linda,ngrid,202166 Kyle Morrow St.,'11754,KINGS PARK,'8077070815,no@nrg.com,no_email_mark,E1-765-D95,completed,false,0000007668805351
ts_52,g329bf77638fca60,web,green_mountain_energy,residential,fixed,SolarSPARC 10% 12,solarsparc_10_smart_12,ny,electric,coned,Carla,coned,327304 Timothy Washington St.,'11566,MERRICK,'164635828543456,aleksandr.malygin@nrg.com,emailmarketing,E1-9KL-DMD,completed,false,0000007668805352
ts_65,g402f79356122685,web,green_mountain_energy,small_business,fixed,GNESBFIX,rate_category,il,electric,comed,John,comed,550981 Jennifer Clark St.,'60929,CULLOM,'9368359205,no@nrg.com,no_email_mark,E1-Z6R-DEQ,error,false,
ts_66,g402f79356122685,web,green_mountain_energy,small_business,fixed,GNESBFIX,rate_category,il,electric,comed,Rebecca,comed,418269 Mary Davis St.,'60005,ARLINGTON HEIGHTS,'8799587064,aleksandr.malygin@nrg.com,emailmarketing,E1-MAP-N44,error,false,
ts_71,g4310ddcf5a08342,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate,md,electric,delmarva,Michael,delmarva,73746 Rebecca Caldwell St.,'20882,GAITHERSBURG,'05543997979004774859638,no@nrg.com,no_email_mark,E1-Y5R-DN8,completed,false,0000007668805353
ts_72,g4310ddcf5a08342,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate,md,electric,delmarva,Elizabeth,delmarva,333651 Judy Morse St.,'21409,ANNAPOLIS,'05171979368570984471530,aleksandr.malygin@nrg.com,emailmarketing,E1-VZX-DYL,completed,false,0000007668805354
ts_78,g5277877c9b61f54,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate,ny,electric,rge,Dennis,rge,951379 Jacob Smith St.,'14520,Ontario Center,'R01559541687275,aleksandr.malygin@nrg.com,emailmarketing,E1-BX6-VPQ,completed,false,0000007668805355
ts_81,g5fc801d5c1d8bb8,web,green_mountain_energy,small_business,fixed,GNESBFIX2,rate_category,pa,electric,peco,Lonnie,peco,520316 Teresa Garcia MD St.,'19403,Eagleville,'2065347021,no@nrg.com,no_email_mark,E1-XER-DBM,error,false,
ts_82,g5fc801d5c1d8bb8,web,green_mountain_energy,small_business,fixed,GNESBFIX2,rate_category,pa,electric,peco,Nicholas,peco,455886 Zachary Myers St.,'18958,SALFORDVILLE,'6533712191,aleksandr.malygin@nrg.com,emailmarketing,E1-EBQ-E9X,error,false,
ts_85,g62f323f9539fff2,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate,ny,electric,nyseg,Melissa,nyseg,430006 Brendan Anderson St.,'14780,PAINTED POST,'N01622212505933,no@nrg.com,no_email_mark,E1-KK6-ZXM,completed,false,0000007668805356
ts_143,ga4baeb16b2f8c3b,web,green_mountain_energy,residential,fixed,SolarSPARC 10% 12,solarsparc_10_smart_12,ny,electric,rge,Willie,rge,918539 Bradley Wilson St.,'13074,Hannibal,'R01424338119142,no@nrg.com,no_email_mark,E1-PZ9-XPR,completed,false,0000007668805357
ts_191,ge04161be4ab5997,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate,pa,electric,peco,Pamela,peco,597156 Chad Campbell St.,'19437,GWYNEDD VALLEY,'1712372757,no@nrg.com,no_email_mark,E1-A46-YE7,completed,false,0000007668805358
ts_205,gfaffb74813b5c4d,web,green_mountain_energy,residential,fixed,Pollution Free Farm to Market Reliable Rate,pollution_free_farm_to_market_reliable_rate,pa,electric,peco,Brittany,peco,98266 Matthew Hill St.,'19008,BROOMALL,'4628145146,no@nrg.com,no_email_mark,E1-765-DPR,completed,false,0000007668805359
ts_220,g91a4be5063e374e,web,green_mountain_energy,residential,fixed,SolarSPARC 10%12,solarsparc_10_smart_12,md,electric,bge,Stacey,bge,651369 Corey Johnston St.,'21274,BALTIMORE,'3023913718,bouncy@mcbounceface.com,bounce,E1-9KL-D75,completed,false,0000007668805360
ts_233,g132d13c46de7473,web,green_mountain_energy,small_business,variable,GNESBVAR,rate_category,il,electric,comed,Brett,comed,951672 Lisa Sullivan St.,'60633,CHICAGO,'6833802779,thiswillbounce@thisbounces.com,bounce,E1-Z6R-D85,error,false,
ts_234,g402f79356122685,web,green_mountain_energy,small_business,fixed,GNESBFIX,rate_category,il,electric,comed,Nicole,comed,472392 William Moore St.,'60910,AROMA PARK,'8331925994,bouncedmail@eccbounce.com,bounce,E1-MAP-NWZ,error,false,
ts_270,g418effe855c3904,web,green_mountain_energy,residential,fixed,SolarSPARC 10% 12,solarsparc_10_smart_12,ny,electric,ngrid,Michael,ngrid,449697 Sarah Rose St.,'12534,STOCKPORT,'4051758582,bouncedmail@eccbounce.com,bounce,E1-Y5R-D8V,completed,false,0000007668805361
