ts,sku,ChannelSlug,BrandSlug,PremiseType,TermsOfServiceTyp,ProductName,ProductSlug,StateSlug,Commodity,UtilitySlug,first_name,last_name,ServiceAddress1,zip_code,city,account_no,email,emailmarketing,confirm_number,order_status,allow_email_marketing,test_time,sap_number,
ts_3,g60baa8b8f77e084,web,green_mountain_energy,residential,fixed,SolarSPARC 10%12,solarsparc_10_smart_12,ma,electric,beco,Amy,beco,69317 Priscilla Gonzalez St.,'01151,Norfolk,''90991460384,aleksandr.malygin@nrg.com,emailmarketing,E1-LPK-ALV,completed,FALSE,_06_03_2020,7668805921, IDOC Processed Sucessfully.
ts_10,gb1531b7eeccc3b0,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate,ma,electric,beco,Kimberly,beco,498696 Lisa Hayden St.,'02453,SPRINGFIELD,''45182421853,aleksandr.malygin@nrg.com,emailmarketing,E1-A46-N5K,completed,FALSE,_06_03_2020,7668805949,IDOC Processed Sucessfully.
ts_5,g727337e4bc33c7b,web,green_mountain_energy,residential,fixed,Pollution Free with Goal Zero 12,pollution_free_gz_12,md,electric,bge,Kimberly,bge,506101 Charles Alvarado St.,'21738,GLENWOOD,''6972870880,aleksandr.malygin@nrg.com,no_email_mark,E1-86L-VWK,completed,FALSE,_06_03_2020,7668805923, IDOC Processed Sucessfully.
ts_14,gc027df45d7b86b9,web,green_mountain_energy,residential,fixed,Pollution Free with Goal Zero 6,pollution_free_gz_6,md,electric,bge,Matthew,bge,237739 Kelly Wells St.,'20736,OWINGS,''8473065680,aleksandr.malygin@nrg.com,no_email_mark,E1-MAP-7LR,completed,FALSE,_06_03_2020,7668805953,IDOC Processed Sucessfully.
ts_6,g953b30c2dc2b803,web,green_mountain_energy,residential,variable,Green Mountain Family,green_mountain_family,ma,electric,camb,Kyle,camb,645146 Michael Love St.,'02445,Brookline,''46713059082,aleksandr.malygin@nrg.com,emailmarketing,E1-5LX-ZWN,completed,FALSE,_06_03_2020,7668805927,IDOC Processed Sucessfully.
ts_16,gc25b92975f0dc97,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate,ma,electric,camb,Richard,camb,593013 Amy Coleman St.,'02445,Brookline,''81264103862,aleksandr.malygin@nrg.com,emailmarketing,E1-VZX-468,completed,FALSE,_06_03_2020,7668805955,IDOC Processed Sucessfully.
ts_25,g2af2aaca2250150,web,green_mountain_energy,residential,fixed,SolarSPARC 10%12,solarsparc_10_smart_12,ma,electric,camb,Jason,camb,879038 Kevin Bernard St.,'02445,Brookline,''25913203440,aleksandr.malygin@nrg.com,emailmarketing,E1-Z6R-QRL,completed,FALSE,_06_03_2020,7668805964,IDOC Processed Sucessfully.
ts_4,g66e737bf564b0bb,web,green_mountain_energy,residential,variable,Green Mountain Family,green_mountain_family,ma,electric,ngntkt,Catherine,ngntkt,249995 John Cruz St.,'02564,Nantucket,''4478406429,aleksandr.malygin@nrg.com,emailmarketing,E1-QKZ-YDK,completed,FALSE,_06_03_2020,7668805922, Error in creating CA
ts_1,g00164a75659d6e5,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate,ma,electric,wmeco,Michael,wmeco,505441 Michael Carr St.,1085,SOUTH LEE,''125781709,aleksandr.malygin@nrg.com,no_email_mark,E1-RPM-V6Q,completed,FALSE,_06_03_2020,7668805920,BACCTNUM is missing for WMECO
ts_11,gbfb53bb14a115bf,web,green_mountain_energy,residential,fixed,SolarSPARC 10%12,solarsparc_10_smart_12,ma,electric,wmeco,David,wmeco,601586 Zachary Wright St.,'01084,SOUTH LEE,''470906749,aleksandr.malygin@nrg.com,no_email_mark,E1-765-YWP,completed,FALSE,_06_03_2020,7668805950,BACCTNUM is missing for WMECO
