Status, time, Register_ID, REG_Date, UID, Sequence, Vendor_ID, brand_slug, App_Type, First_Name, Last, Address, City, State, Zip, Email, ISO, Conf_Code, App_By, Sku, Call_DirectionApproved,12_27_2019_01_21_18_PM,12289,12/21/2019,A5dfe96e68c10e,1,EPIB,nrg_residential,IB,Alex_Lauren,Watts,485471 Erika Meadows St.,Washington,PA,20303,,PGW,ffd9e3b,ama,1A0082BB-FDF2,OUTBOUND
Approved,01_21_2020_10_47_21_AM,12325,12/21/2019,A5dfea0683c33a,1,EPIB,nrg_residential,IB,Alex_John,Li,465299 Joseph Montes St.,Washington,OH,20204,,DKE Elec,8015fb9,ama,g464d512e147045e,OUTBOUND,,,,,,,,,,,,,,,,,,,,
Approved,01_21_2020_10_47_23_AM,12337,12/21/2019,A5dfea21b6438b,1,EPIB,nrg_residential,IB,Alex_Bianca,Potts,548931 Matthew Leon St.,Washington,OH,20212,,DKE Elec,3530bf8,ama,g464d512e147045e,OUTBOUND,,,,,,,,,,,,,,,,,,,,
Approved,01_21_2020_10_47_26_AM,12341,12/21/2019,A5dfea24cec996,1,EPIB,nrg_residential,IB,Alex_Carl,Sherman,778476 Diane Baker DDS St.,Washington,OH,20262,,DKE Elec,671d43b,ama,g464d512e147045e,OUTBOUND,,,,,,,,,,,,,,,,,,,,
Approved,01_21_2020_10_47_29_AM,12343,12/21/2019,A5dfea2848aeff,1,EPIB,nrg_residential,IB,Alex_Shawn,Clark,50863 Catherine Mcdonald St.,Washington,OH,20541,,DKE Elec,9e92985,ama,g464d512e147045e,OUTBOUND,,,,,,,,,,,,,,,,,,,,
Approved,01_21_2020_10_47_31_AM,12373,12/21/2019,A5dfea9a906c80,1,EPIB,nrg_residential,IB,Alex_Derrick,Gibbs,325503 Beth Brown St.,Washington,OH,20585,,DKE Elec,c403c7c,ama,g464d512e147045e,OUTBOUND,,,,,,,,,,,,,,,,,,,,
Approved,01_21_2020_10_47_34_AM,12375,12/21/2019,A5dfea9c9af7ed,1,EPIB,nrg_residential,IB,Alex_Derrick,Gibbs,325503 Beth Brown St.,Washington,OH,20585,,CEI,e06dff7,ama,03BF52E1-51DC,OUTBOUND,,,,,,,,,,,,,,,,,,,,
Approved,01_21_2020_10_47_37_AM,12377,12/21/2019,A5dfeaa8692ee3,1,EPIB,nrg_residential,IB,Alex_Melissa,Ewing,721869 Martin Lopez St.,Washington,OH,20314,,DKE Elec,a113cd2,ama,g464d512e147045e,OUTBOUND,,,,,,,,,,,,,,,,,,,,
Approved,01_21_2020_10_47_39_AM,12381,12/21/2019,A5dfeaac9a1660,1,EPIB,nrg_residential,IB,Alex_James,Snyder,78565 Taylor Allen St.,Washington,OH,20059,,DKE Elec,e4293f7,ama,g464d512e147045e,OUTBOUND,,,,,,,,,,,,,,,,,,,,
Approved,01_21_2020_10_47_42_AM,12413,12/21/2019,A5dfeb53416c71,1,EPIB,nrg_residential,IB,Alex_Donna,Romero,639069 Eric Russell St.,Washington,OH,20506,,DKE Elec,4f212a1,ama,g464d512e147045e,OUTBOUND,,,,,,,,,,,,,,,,,,,,
Approved,01_21_2020_10_47_45_AM,12453,12/21/2019,A5dfec8b46af31,1,EPIB,nrg_residential,IB,Alex_Clayton,Aguirre,576499 Jonathan Franklin St.,Washington,OH,20403,,DKE Elec,cef14f5,ama,g464d512e147045e,OUTBOUND,,,,,,,,,,,,,,,,,,,,
Approved,01_21_2020_10_47_47_AM,12457,12/21/2019,A5dfec912b5ec8,1,EPIB,nrg_residential,IB,Alex_Cynthia,Boyd,458507 Hannah Gonzalez St.,Washington,OH,20017,,DKE Elec,2d0bc2b,ama,g464d512e147045e,OUTBOUND,,,,,,,,,,,,,,,,,,,,
Approved,01_21_2020_10_47_50_AM,12459,12/21/2019,A5dfec93247a1e,1,EPIB,nrg_residential,IB,Alex_Richard,Miller,485818 Brett Martinez St.,Washington,OH,20017,,DKE Elec,4c1558a,ama,g464d512e147045e,OUTBOUND,,,,,,,,,,,,,,,,,,,,
Approved,01_21_2020_10_47_53_AM,12461,12/21/2019,A5dfec97e71e54,1,EPIB,nrg_residential,IB,Alex_James,Ramos,661961 Julia Noble St.,Washington,OH,20071,,DKE Elec,91b7160,ama,g464d512e147045e,OUTBOUND,,,,,,,,,,,,,,,,,,,,
Approved,01_21_2020_10_47_55_AM,12465,12/21/2019,A5dfeca5ca1536,1,EPIB,nrg_residential,IB,Alex_Alexander,Johnson,691928 Deborah Kelley St.,Washington,OH,20033,,DKE Elec,7735fc3,ama,g464d512e147045e,OUTBOUND,,,,,,,,,,,,,,,,,,,,
Approved,01_21_2020_10_48_00_AM,12469,12/21/2019,A5dfeca8c614fe,1,EPIB,nrg_residential,IB,Alex_Blake,Davis,939385 Mary Watson St.,Washington,OH,20528,,DKE Elec,a7468d0,ama,g464d512e147045e,OUTBOUND,,,,,,,,,,,,,,,,,,,,
Approved,01_21_2020_10_48_03_AM,12471,12/21/2019,A5dfecb18678f7,1,EPIB,nrg_residential,IB,Alex_Catherine,Carr,544286 Carla Roth St.,Washington,OH,20389,,DKE Elec,339b2bc,ama,g464d512e147045e,OUTBOUND,,,,,,,,,,,,,,,,,,,,
Approved,01_21_2020_10_48_06_AM,12475,12/21/2019,A5dfecb73524bf,1,EPIB,nrg_residential,IB,Alex_Carol,Frank,776322 Christine Elliott St.,Washington,OH,20468,,DKE Elec,8df2744,ama,g464d512e147045e,OUTBOUND,,,,,,,,,,,,,,,,,,,,
Approved,01_21_2020_10_48_08_AM,12477,12/21/2019,A5dfecc2d6da41,1,EPIB,nrg_residential,IB,Alex_Amanda,Mendez,508405 Joseph Cox St.,Washington Navy Yard,OH,20391,,DKE Elec,4959b15,ama,g464d512e147045e,OUTBOUND,,,,,,,,,,,,,,,,,,,,
Approved,01_21_2020_10_48_11_AM,12481,12/21/2019,A5dfecce99f723,1,EPIB,nrg_residential,IB,Alex_John,Mercado,694113 Nicholas Long St.,Washington,OH,20559,,DKE Elec,023dca1,ama,g464d512e147045e,OUTBOUND,,,,,,,,,,,,,,,,,,,,
Approved,01_21_2020_10_48_14_AM,12483,12/21/2019,A5dfecd360bdd5,1,EPIB,nrg_residential,IB,Alex_Fred,Wolf,264335 William Rowe St.,Washington,OH,20049,,DKE Elec,4fe35b5,ama,g464d512e147045e,OUTBOUND,,,,,,,,,,,,,,,,,,,,
