UID	Sequencer	MID	Application Type	FirstName	MiddleInit	LastName	SuffixName	PriorityLevel	Business Name	RevenueClass	Service Phone	Service Extension	Service Address1	Service Address2	Service City	Service State	Service Zip	Service Zip4	Service County	Billing Phone	Billing Extension	Billing Address1	Billing Address2	Billing City	Billing State	Billing Zip	Billing Zip4	Billing County	Attention Line	email	Service type	ISO region	TaxExemption	BillMethod	EnrollType	RequestStartDate	Utility Code	UtilityAccountNumber	Rate Class	Promo Code	Rep ID	Campaign ID	Cell Code	Date of Sale	Partner Code	Partner Member Number	Authorization Accepted	Agreement Accepted	Confirmation Number	Time of Sale	Green	Referral ID	IP Address	Budget Billing	Entered By	App Taken By	Name Key	BAcctNum	IntroGroup	MKGroup	PartnerFirstName	PartnerLastName	EnrollCustID	FICO	PaymentSource	PaymentMethod	PaymentAmount	contractterm	SpanishBill	notificationwaiver	BirthDate	MotherMaiden	TaxID	Credit1	credit2	AvgBill	RentOwn	ResidenceLength	EmployeeCount	BusinessLength	CurrentSupplier	spfname	splname	InitialOffer_ChargeID	FixedIntro	years_inbiz	years_bizaddr	late_payment6	busname_change	elec_supp_prevyear	years_creditbiz	RiskQuestion1	RiskQuestion2	RiskQuestion3	campaign_version	brand_slug	sku	export_job_id	tos_version	ConsentPhone	ConsentEmail	ConsentData	ConsentCompanies	AgentId	Rep First Name	Rep Last Name	call_direction	
A5e0e59ce3ddea	001	EPIB	IB	Alex_Kristen		Scott				1	3289754471		947670 Lisa Fox St.		Medway	MA	02053			3289754471		947670 Lisa Fox St.		Medway	MA	02053					1	ISONE	0	1	1	20200102	42	33980884534		035	1111	0000	10	20200102	ARW		1	1	efba457	160002	000		10.200.177.216	0	ama	ama											0	0										0	0	0				33820	0.119											energyplus				0	0	0		1111	Aleksandr	Malygin	OUTBOUND	
A5e0e5a47f1205	001	EPIB	IB	Alex_Scott		Ross				1	3462924736		146397 Mrs. Katie Moore DVM St.		Diamond	IL	60416			3462924736		146397 Mrs. Katie Moore DVM St.		Diamond	IL	60416					1	ComEd	0	2	1	20200102	36	7222378932		015	1111	0000	10	20200102	BRC		1	1	73598d5	160205	001		10.200.177.216	0	ama	ama											0	0										0	0	0				33760	0.067											energyplus				0	0	0		1111	Aleksandr	Malygin	OUTBOUND	
A5e0e5a7b5a7d2	001	EPIB	IB	Alex_Jacob		Mason				1	6736947184		742257 James Nelson St.		Frederick	MD	21704			6736947184		742257 James Nelson St.		Frederick	MD	21704					1	BGE	0	2	1	20200102	31	9905009791		015	1111	6742	10	20200102	BRC		1	1	a0aeb7a	160255	000		10.200.176.45	0	ama	ama											0	6										0	0	0				33582	0.099											energyplus				0	0	0		1111	Aleksandr	Malygin	OUTBOUND	
A5e0e5aaa7764d	001	EPIB	IB	Alex_Shaun		Cruz				1	6572104872		546578 Michael Arroyo St.		Hyattsville	MD	20784			6572104872		546578 Michael Arroyo St.		Hyattsville	MD	20784					1	delmarva	0	2	1	20200102	33	0534283453517778426244		035	1111	6230	10	20200102	DEL		1	1	d290933	160342	001		10.200.176.45	0	ama	ama											0	0										0	0	0				33814	0.082											energyplus				0	0	0		1111	Aleksandr	Malygin	OUTBOUND	
A5e0e5adb652a3	001	EPIB	IB	Alex_Ronald		Myers				1	9508165351		426350 Brandy Finley St.		Rockville	MD	20849			9508165351		426350 Brandy Finley St.		Rockville	MD	20849					1	PEP	0	2	1	20200102	32	0591692611376674631720		015	1111	6230	10	20200102	AMA		1	1	016f93f	160431	000		10.200.177.216	0	ama	ama											0	0										0	0	0				33815	0.082											energyplus				0	0	0		1111	Aleksandr	Malygin	OUTBOUND	
A5e0e5b07e2d4b	001	EPIB	IB	Alex_David		Reyes				1	8949273346		958303 Glenda Edwards St.		Everett	MA	02149			8949273346		958303 Glenda Edwards St.		Everett	MA	02149					1	ISONE	0	1	1	20200102	47	904974116		099	1111	7164	10	20200102	ATK		1	1	2836093	160514	000		10.200.177.216	0	ama	ama	test	54744586427									0	0										0	0	0				33821	0.119											energyplus				0	0	0		1111	Aleksandr	Malygin	OUTBOUND	
A5e0e5b2ead754	001	EPIB	IB	Alex_Lauren		Lopez				1	2642108585		800314 Christopher Keith St.		Waltham	MA	02453			2642108585		800314 Christopher Keith St.		Waltham	MA	02453					1	ISONE	0	1	1	20200102	42	55770167223		035	1111	0000	10	20200102	ARW		1	1	55472ad	160554	000		10.200.177.216	0	ama	ama											0	0										0	0	0				33820	0.119											energyplus				0	0	0		1111	Aleksandr	Malygin	OUTBOUND	
A5e0e5b5e60a73	001	EPIB	IB	Alex_Austin		Kent				1	9064844490		637634 Steven Garcia St.		Rutland	MA	01543			9064844490		637634 Steven Garcia St.		Rutland	MA	01543					1	ISONE	0	1	1	20200102	45	6197005290		015	1111	6400	10	20200102	PSU		1	1	84ec380	160642	000		10.200.177.216	0	ama	ama											0	0										0	0	0				33816	0.119											energyplus				0	0	0		1111	Aleksandr	Malygin	OUTBOUND	
A5e0e5b8c4f5e9	001	EPIB	IB	Alex_Charles		Garcia			Tester_busines_account	2	3673712888		871800 Louis Carpenter St.		Monponsett	MA	02350			3673712888		871800 Louis Carpenter St.		Monponsett	MA	02350					1	ISONE	0	1	1	20200102	47	147593667		015	1111	6742	10	20200102	BRC		1	1	b2a2089	160728	000		10.200.177.216	0	ama	ama	test	54293965823									0	6										0	0	0				33616	0.134											energyplus				0	0	0		1111	Aleksandr	Malygin	OUTBOUND	
A5e0e5bbd4eb53	001	EPIB	IB	Alex_Jerry		Smith			Tester_busines_account	2	5912443244		224270 John Fisher St.		Wakefield	MA	01880			5912443244		224270 John Fisher St.		Wakefield	MA	01880					1	ISONE	0	1	1	20200102	45	2138883112		024	1111	6134	10	20200102	ACM		1	1	e500022	160817	000		10.200.177.216	0	ama	ama											0	0										0	0	0				33842	0.119											energyplus				0	0	0		1111	Aleksandr	Malygin	OUTBOUND	
