ts,PremiseType,sku,BrandSlug,ChannelSlug,ProductName,TermsOfServiceTyp,account_no,first_name,last_name,UtilitySlug,Commodity,ServiceAddress1,ServiceAddress2,city,StateSlug,zip_code,email,emailmarketing,sap_conf_,uan_number,time_for_csv_report,sap_enrollment_conf_,epenet_check,test_status,,
ts_1,residential,g1713159e0750d57,nrg_residential,web,Electric Choice Ohio Plan 6M,fixed,'0004438055082195147479,Daniel,Hebert,aeps,electric,517724 Katrina Leach St.,,LOCKBOURNE,Ohio,'43137,DanielHebert@testnrg.com,no_email_mark,E1-JQM-NA8,'00040044380550821,5/1/2020,'0000007556870230,n/a,Passed,7556870230,Incorrect utility enrolled
ts_2,residential,g1713159e0750d57,nrg_residential,web,Electric Choice Ohio Plan 6M,fixed,'0004816013547931596211,Evan,Mcneil,aeps,electric,477562 Allison Green St.,,MENTOR,OH,'44060,EvanMcneil@testnrg.com,emailmarketing,E1-J8E-4ZQ,'00040048160135479,5/1/2020,'0000007556870231,n/a,Passed,7556870231,IDOC Processed Sucessfully.
ts_3,residential,g212493a409b6061,nrg_residential,web,Electric Choice Ohio Plan 12M,fixed,'08379361538074170583,Daniel,Douglas,te,electric,502550 Jonathan Lewis St.,,Toledo,OH,'43614,DanielDouglas@testnrg.com,no_email_mark,E1-GDA-K75,'08379361538074170583,5/1/2020,'0000007556870232,n/a,Passed,7556870232,IDOC Processed Sucessfully.
ts_4,residential,g212493a409b6061,nrg_residential,web,Electric Choice Ohio Plan 12M,fixed,'08958679090832288950,Daniel,Lopez,te,electric,992312 Daniel Mann St.,,Toledo,OH,'43614,DanielLopez@testnrg.com,emailmarketing,E1-G54-BAP,'08958679090832288950,5/1/2020,'0000007556870233,n/a,Passed,7556870233,IDOC Processed Sucessfully.
ts_5,residential,g2771a40cd60bf5f,nrg_residential,web,Electric Choice Ohio Plan 6M,fixed,'08406409690699455992,John,Young,dukeoh,electric,949149 Sara Aguilar St.,,CANTON,OH,'44706,JohnYoung@testnrg.com,no_email_mark,E1-JW9-P84,'08406409690,5/1/2020,'0000007556870234,n/a,Passed,7556870234,IDOC Processed Sucessfully.
ts_6,residential,g2771a40cd60bf5f,nrg_residential,web,Electric Choice Ohio Plan 6M,fixed,'08387894202125502031,Dennis,Patterson,dukeoh,electric,511768 Katie Carter St.,,GAHANNA,OH,'43230,DennisPatterson@testnrg.com,emailmarketing,E1-JN5-DW8,'08387894202,5/1/2020,'0000007556870235,n/a,Passed,7556870235,IDOC Processed Sucessfully.
ts_7,residential,g47972e7f93112d9,nrg_residential,web,Electric Choice Ohio Plan 3M,variable,'08200280757899740613,Diana,Bruce,dpl,electric,48833 Trevor Ramirez St.,,Osgood,OH,'45351,DianaBruce@testnrg.com,no_email_mark,E1-JK5-RWR,'0820028075,5/1/2020,'0000007556870237,n/a,Passed,7556870237,IDOC Processed Sucessfully.
ts_8,residential,g47972e7f93112d9,nrg_residential,web,Electric Choice Ohio Plan 3M,variable,'08488377103175315886,Nathan,Haynes,dpl,electric,661593 Mariah Johnson St.,,Bellefontaine,OH,'43311,NathanHaynes@testnrg.com,emailmarketing,E1-JP5-8W5,'0848837710,5/1/2020,'0000007556870238,n/a,Passed,7556870238,IDOC Processed Sucessfully.
ts_9,residential,g67db7c025221097,nrg_residential,web,Electric Choice Ohio Plan 12M,fixed,'08812925224354902640,Robert,Shepard,dpl,electric,416822 Robert Craig St.,,Reesville,OH,'45166,RobertShepard@testnrg.com,no_email_mark,E1-JAV-DEW,'0881292522,5/1/2020,'0000007556870239,n/a,Passed,7556870239,IDOC Processed Sucessfully.
ts_10,residential,g67db7c025221097,nrg_residential,web,Electric Choice Ohio Plan 12M,fixed,'08972963166533203400,Michael,Holmes,dpl,electric,183405 Beth Bryant St.,,Eldorado,OH,'45321,MichaelHolmes@testnrg.com,emailmarketing,E1-G7E-4PQ,'0897296316,5/1/2020,'0000007556870240,n/a,Passed,7556870240,IDOC Processed Sucessfully.
